158.html 271 "1_LEFT__-_2_BED_2_BATH_$750_PER_MONTH_-_NOV__MOVE_IN" http://bloomington.craigslist.org/apa/5827954655.html
159.html 335 "Incredible_features_&_quiet_location" http://bloomington.craigslist.org/apa/5837053776.html
160.html 304 "Hidden_Gem_--_Quiet_&_Spacious_on_the_south_side" http://bloomington.craigslist.org/apa/5837060229.html
161.html 311 "It's_the_PENTHOUSE_--_need_we_say_more?" http://bloomington.craigslist.org/apa/5837059902.html
162.html 352 "Comfort_+_Privacy_+_Spacious_=_Your_Next_Home" http://bloomington.craigslist.org/apa/5837051451.html
163.html 371 "Great_for_Roommates-Spacious_--_All_utilities_included" http://bloomington.craigslist.org/apa/5837048809.html
164.html 375 "Great_location_+_Great_Apartment_=_Happy_you" http://bloomington.craigslist.org/apa/5837031877.html
165.html 306 "Two_levels_of_living_space,_recent_upgrades" http://bloomington.craigslist.org/apa/5837044204.html
166.html 371 "Like_New!_Always_Spacious,_now_Remodeled" http://bloomington.craigslist.org/apa/5837021715.html
167.html 266 "One-of-a-kind_Spacious_East-Side_Apartment" http://bloomington.craigslist.org/apa/5837041399.html
168.html 282 "Extra_Spacious_&_Convenient_to_IU" http://bloomington.craigslist.org/apa/5837036229.html
169.html 268 "Extra_Spacious_with_Upgrades_&_Convenient_to_IU" http://bloomington.craigslist.org/apa/5837034240.html
170.html 252 "Mobile_Home_For_Rent" http://bloomington.craigslist.org/apa/5837028221.html
171.html 359 "Remodeled!_Spacious_w/_1200_sq_ft_of_living_space_on_2_levels" http://bloomington.craigslist.org/apa/5837026326.html
172.html 192 "Two-Bedroom_Town_Home,_1.5_bath,_1000_Sq._Ft.," http://bloomington.craigslist.org/apa/5836848138.html
173.html 204 "$850_PER_MONTH_CONDO_NOW_AVAILABLE_2_BR_/_2_BA" http://bloomington.craigslist.org/apa/5812233083.html
174.html 260 "1_MILE_WEST_OF_DOWNTOWN,5brs,1.5bath_BIG_HOUSE._AUGUST" http://bloomington.craigslist.org/apa/5811777913.html
175.html 220 "CHEAP,_Each_person_pays_$390_+_utilities,3br,1.5ba,south_OF_I.U" http://bloomington.craigslist.org/apa/5810175024.html
176.html 251 "5_persons_are_Allowed,_NICE,_$1275_August_2017" http://bloomington.craigslist.org/apa/5810144299.html
177.html 239 "109_N.Clark_st._Bloomington_In_AUGUST_2017" http://bloomington.craigslist.org/apa/5810126024.html
178.html 247 "Aug.2017,each_person_pays_$325,1mile_south_of_Campus,_on_bus_route," http://bloomington.craigslist.org/apa/5817187603.html
179.html 165 "3BR/2.5bath_townhome,_close_to_Ivy_Tech," http://bloomington.craigslist.org/apa/5836819273.html
180.html 195 "***ULTRA_NICE_LARGE_4BR/GREAT_LOCATION!!***" http://bloomington.craigslist.org/apa/5836757371.html
181.html 304 "LUXURY_LIVING_AT_AN_AFFORDABLE_PRICE!" http://bloomington.craigslist.org/apa/5836679603.html
182.html 265 "Large,_Beautiful_Duplex_$895" http://bloomington.craigslist.org/apa/5836703812.html
183.html 142 "***CLOSE_TO_DOWTOWN/ON_BUS_ROUTE/BEST_PRICES!!***" http://bloomington.craigslist.org/apa/5836633196.html
184.html 177 "Avail_Aug._2017/2018_-_Charming_House_Near_Downtown_&_B-Line_Trail" http://bloomington.craigslist.org/apa/5836693059.html
185.html 246 "Close_to_the_Music_School!_Amazing_House_w/lots_of_Space!" http://bloomington.craigslist.org/apa/5836690461.html
186.html 193 "PRICE_REDUCED!_3_Bed_2.5_Bath" http://bloomington.craigslist.org/apa/5815867682.html
187.html 166 "AVAIL_NOW!!!_Close_to_Downtown!" http://bloomington.craigslist.org/apa/5836686390.html
188.html 211 "***WELCOME_HOME_FALL_SPECIAL!_BEST_PRICES!!!***" http://bloomington.craigslist.org/apa/5836631432.html
189.html 268 "Volleyball_Court,_Wood_Style_Flooring,_Dog_Park_Area" http://bloomington.craigslist.org/apa/5836617252.html
190.html 273 "EARLY_DEC_M/I_2_BED_2_BATH_$750_PER_MON_-_3_MILE_FROM_SQUARE" http://bloomington.craigslist.org/apa/5791101426.html
191.html 331 "Amenities_galore!" http://bloomington.craigslist.org/apa/5836619058.html
192.html 177 "1_BR_College_Rental" http://bloomington.craigslist.org/apa/5822645107.html
193.html 299 "THE_REST_OF_OCTOBER_FREE_-_THE_SOONER_YOUR_LEASE_STARTS_THE_MORE_SAVED" http://bloomington.craigslist.org/apa/5836489567.html
194.html 185 "$1,400_Two_Bedroom_apartment_downtown_-_7_Ten_-_1_month_FREE" http://bloomington.craigslist.org/apa/5797848025.html
195.html 186 "$990_One_Bedroom_apartment_downtown_-_Lofts_on_College_-1_month_FREE" http://bloomington.craigslist.org/apa/5797851120.html
196.html 165 "$1,300_Two_Bedroom_apartment_downtown_-_Smith_Avenue_-_1_Month_FREE" http://bloomington.craigslist.org/apa/5797856432.html
197.html 196 "Great_Location!_Avail_Aug_2017-2018_Blocks_From_Campus" http://bloomington.craigslist.org/apa/5836441911.html
198.html 219 "HOUSE_AVAIL_NOW_1_BR_+STUDY_5_BLOCKS_FROM_BRYAN_PARK" http://bloomington.craigslist.org/apa/5836377147.html
199.html 371 "***_AVAIL_NOW_UPDATED_2_BR_TOWNHOUSE_CONDO_ON_SOUTHSIDE_***" http://bloomington.craigslist.org/apa/5836365640.html
200.html 209 "In_Home_Laundry,_Dog_Park_Area,_Modern_Finishes" http://bloomington.craigslist.org/apa/5836324581.html
